ride_id,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count
20090615_172621,4.5,2009-06-15T17:26:21Z,-73.844311,40.721319,-73.84161,40.71227800000001,1
20100105_165216,16.9,2010-01-05T16:52:16Z,-74.016048,40.711303,-73.979268,40.782004,1
20110818_003500,5.7,2011-08-18T00:35:00Z,-73.982738,40.76127,-73.991242,40.750562,2
20120421_043042,7.7,2012-04-21T04:30:42Z,-73.98713000000002,40.733143,-73.991567,40.758092,1
20100309_075100,5.3,2010-03-09T07:51:00Z,-73.96809499999998,40.768008,-73.956655,40.783762,1
20110106_095045,12.1,2011-01-06T09:50:45Z,-74.000964,40.73163,-73.972892,40.758233,1
20121120_203500,7.5,2012-11-20T20:35:00Z,-73.980002,40.751662,-73.973802,40.764842,1
20120104_172200,16.5,2012-01-04T17:22:00Z,-73.9513,40.774138,-73.990095,40.751048,1
20121203_131000,9.0,2012-12-03T13:10:00Z,-74.006462,40.726713,-73.993078,40.731628,1
20090902_011100,8.9,2009-09-02T01:11:00Z,-73.98065799999998,40.733873,-73.99154,40.758138,2
20120408_073050,5.3,2012-04-08T07:30:50Z,-73.996335,40.737142,-73.980721,40.733559,1
20121224_112400,5.5,2012-12-24T11:24:00Z,0.0,0.0,0.0,0.0,3
20091106_010403,4.1,2009-11-06T01:04:03Z,-73.991601,40.744712,-73.983081,40.744682,2
20130702_195400,7.0,2013-07-02T19:54:00Z,-74.00536,40.728867,-74.008913,40.710907,1
20110405_171105,7.7,2011-04-05T17:11:05Z,-74.00182099999998,40.737547,-73.99806,40.722788,2
20131123_125700,5.0,2013-11-23T12:57:00Z,0.0,0.0,0.0,0.0,1
20140219_072200,12.5,2014-02-19T07:22:00Z,-73.98643,40.760465,-73.98899,40.737075,1
20090722_160800,5.3,2009-07-22T16:08:00Z,-73.98106,40.73769,-73.99417700000002,40.728412,1
20100707_145200,5.3,2010-07-07T14:52:00Z,-73.969505,40.784843,-73.958732,40.783357,1
20141206_203622,4.0,2014-12-06T20:36:22Z,-73.979815,40.751902,-73.979446,40.755481,1
20100907_131800,10.5,2010-09-07T13:18:00Z,-73.985382,40.747858,-73.97837700000002,40.76207,1
20130212_121546,11.5,2013-02-12T12:15:46Z,-73.957954,40.779252,-73.96125,40.758787,1
20090806_181723,4.5,2009-08-06T18:17:23Z,-73.99170699999998,40.770505,-73.98545899999998,40.763671,1
20101206_122900,4.9,2010-12-06T12:29:00Z,-74.000632,40.747473,-73.986672,40.740577,1
20091210_153700,6.1,2009-12-10T15:37:00Z,-73.969622,40.756973,-73.98115200000002,40.759712,1
20110621_161500,7.3,2011-06-21T16:15:00Z,-73.991875,40.754437,-73.97723,40.774323,3
20110207_200100,6.5,2011-02-07T20:01:00Z,0.0,0.0,0.0,0.0,1
20110628_194700,4.5,2011-06-28T19:47:00Z,-73.988893,40.76016,-73.98644499999997,40.757857,3
20120504_061120,9.3,2012-05-04T06:11:20Z,-73.98925799999998,40.690835,-74.004133,40.72569,1
20130811_005200,4.5,2013-08-11T00:52:00Z,-73.98102,40.73776,-73.98066800000002,40.730497,2
20140219_160300,5.5,2014-02-19T16:03:00Z,-73.976075,40.752422,-73.981082,40.759285,1
20150621_214634,22.54,2015-06-21T21:46:34Z,-74.01048278808595,40.71766662597656,-73.98577117919923,40.66036605834961,1
20090109_161000,31.9,2009-01-09T16:10:00Z,-73.87302700000002,40.77388300000001,-73.984545,40.769545,3
20110907_140500,5.7,2011-09-07T14:05:00Z,-73.976162,40.744988,-73.990002,40.738323,2
20110907_230544,18.1,2011-09-07T23:05:44Z,-73.993717,40.740785,-73.99927199999998,40.676617,1
20150111_031538,58.0,2015-01-11T03:15:38Z,-73.98332977294923,40.73871994018555,-73.93319702148438,40.84722518920898,1
20150312_080838,4.5,2015-03-12T08:08:38Z,-73.99017333984375,40.756446838378906,-73.9856185913086,40.7628288269043,1
20120119_101530,5.3,2012-01-19T10:15:30Z,-73.995199,40.75474000000001,-74.005416,40.75108400000001,1
20131124_114200,9.0,2013-11-24T11:42:00Z,-73.95774,40.773617,-73.977087,40.758465,6
20090302_204249,9.8,2009-03-02T20:42:49Z,-73.972673,40.759186,-73.969897,40.791367,1
20110329_153949,8.1,2011-03-29T15:39:49Z,-73.984267,40.744961,-73.981646,40.759608,1
20111015_105524,10.9,2011-10-15T10:55:24Z,-74.003899,40.725514,-73.976484,40.765537,2
20131122_083809,17.5,2013-11-22T08:38:09Z,-73.97845,40.76292,-74.008482,40.716502,1
20090610_212800,12.1,2009-06-10T21:28:00Z,-73.988558,40.7372,-73.958688,40.780748,1
20110304_181200,5.3,2011-03-04T18:12:00Z,-73.997037,40.737095,-73.98612800000002,40.735043,1
20110831_211415,6.9,2011-08-31T21:14:15Z,-73.971114,40.758944,-73.97793,40.736613,1
20110601_203000,4.5,2011-06-01T20:30:00Z,-73.980822,40.74442,-73.991093,40.748797,1
20111214_075300,3.3,2011-12-14T07:53:00Z,-73.988877,40.76357700000001,-73.985573,40.760262,1
20120718_001600,3.3,2012-07-18T00:16:00Z,-73.98666,40.756072,-73.989727,40.751702,5
20130129_122600,9.0,2013-01-29T12:26:00Z,-73.992253,40.742657,-73.983597,40.755947,1
20111206_090921,9.7,2011-12-06T09:09:21Z,-73.985582,40.73976500000001,-73.973899,40.760426,1
20121006_203136,5.5,2012-10-06T20:31:36Z,-73.952825,40.772048,-73.95219399999998,40.781152,3
20130123_070138,8.0,2013-01-23T07:01:38Z,-73.980298,40.783723,-73.979628,40.763179,1
20130907_031700,7.5,2013-09-07T03:17:00Z,-73.97770799999998,40.746212,-73.975782,40.745055,1
20131110_011219,25.5,2013-11-10T01:12:19Z,-73.974497,40.751603,-73.934927,40.851567,4
20120104_180729,15.3,2012-01-04T18:07:29Z,-73.97151,40.755886,-73.968067,40.801173,1
20100531_180600,34.67,2010-05-31T18:06:00Z,-73.985427,40.758853,-73.872907,40.774497,1
20110319_215500,9.7,2011-03-19T21:55:00Z,-73.97954200000002,40.727498,-73.999315,40.730088,4
20120719_235314,13.7,2012-07-19T23:53:14Z,-74.002113,40.739582,-73.971918,40.791899,2
20090323_121329,6.5,2009-03-23T12:13:29Z,-73.98543000000002,40.736011,-73.982501,40.724802,1
20140716_105700,5.0,2014-07-16T10:57:00Z,-73.996148,40.74189000000001,-73.992202,40.739425,6
20110422_232103,4.5,2011-04-22T23:21:03Z,-74.009137,40.713436,-74.00282299999998,40.72342800000001,3
20120102_145400,4.9,2012-01-02T14:54:00Z,-74.003985,40.73167700000001,-73.999765,40.723512,1
20140501_091200,7.0,2014-05-01T09:12:00Z,-73.96620300000002,40.7675,-73.980915,40.77424,6
20111107_104740,7.3,2011-11-07T10:47:40Z,-74.003919,40.753019,-73.992368,40.735362,1
20121007_175908,7.5,2012-10-07T17:59:08Z,-74.004736,40.715882,-74.017723,40.705141,1
20140117_090300,8.5,2014-01-17T09:03:00Z,-73.991467,40.750575,-73.98575,40.741547,4
20140429_182800,16.5,2014-04-29T18:28:00Z,-73.970323,40.75084,-73.99839200000002,40.724862,6
20150412_101905,11.5,2015-04-12T10:19:05Z,-73.97927856445312,40.72343826293945,-74.00460815429686,40.7469482421875,6
20150512_235142,5.0,2015-05-12T23:51:42Z,-73.95479583740234,40.779335021972656,-73.94493103027344,40.780086517333984,1
20090802_023411,6.9,2009-08-02T02:34:11Z,-73.99578100000002,40.723411,-74.005004,40.71895,2
20100131_105300,3.7,2010-01-31T10:53:00Z,-74.00163,40.730767,-73.997112,40.737533,1
20100514_080900,6.9,2010-05-14T08:09:00Z,-73.955118,40.768942,-73.963495,40.761887,2
20120521_152000,10.1,2012-05-21T15:20:00Z,-73.977788,40.771838,-73.9662,40.778113,2
20141208_160001,16.5,2014-12-08T16:00:01Z,-73.9828,40.745287,-74.01425,40.702935,1
20100816_013300,15.07,2010-08-16T01:33:00Z,-73.961933,40.795585,-73.962253,40.764817,2
20101204_142613,7.7,2010-12-04T14:26:13Z,-73.996601,40.736569,-73.982152,40.744322,1
20110812_042000,24.9,2011-08-12T04:20:00Z,-74.006662,40.73121,-73.92594,40.825588,1
20130206_221600,7.0,2013-02-06T22:16:00Z,-73.988425,40.764342,-74.001642,40.745752,2
20140611_222421,8.5,2014-06-11T22:24:21Z,-73.994128,40.735087,-73.986393,40.751461,1
20100819_163300,5.7,2010-08-19T16:33:00Z,-73.97383,40.763717,-73.98942,40.771522,1
20130310_154400,5.0,2013-03-10T15:44:00Z,-74.01335999999998,40.702272,-74.01699,40.709245,1
20130614_082743,8.5,2013-06-14T08:27:43Z,-73.95371,40.790813,-73.957015,40.777676,1
